# id x y z volume density
0 0.4985 0.495 1.0   
1 0.4985 1.485 1.0   
2 0.4985 2.475 1.0   
3 0.4985 3.465 1.0   
4 0.4985 4.455 1.0   
5 0.4985 5.445 1.0   
6 0.4985 6.435 1.0   
7 0.4985 7.425 1.0   
8 0.4985 8.415 1.0   
9 0.4985 9.405 1.0   
10 0.4985 10.395 1.0   
11 0.4985 11.385 1.0   
12 0.4985 12.375 1.0   
13 0.4985 13.365 1.0   
14 0.4985 14.355 1.0   
15 0.4985 15.345 1.0   
16 0.4985 16.335 1.0   
17 0.4985 17.325 1.0   
18 0.4985 18.315 1.0   
19 0.4985 19.305 1.0   
20 0.4985 20.295 1.0   
21 0.4985 21.285 1.0   
22 0.4985 22.275 1.0   
23 0.4985 23.265 1.0   
24 0.4985 24.255 1.0   
25 0.4985 25.245 1.0   
26 0.4985 26.235 1.0   
27 0.4985 27.225 1.0   
28 0.4985 28.215 1.0   
29 0.4985 29.205 1.0   
30 0.4985 30.195 1.0   
31 0.4985 31.185 1.0   
32 0.4985 32.175 1.0   
33 0.4985 33.165 1.0   
34 0.4985 34.155 1.0   
35 0.4985 35.145 1.0   
36 0.4985 36.135 1.0   
37 0.4985 37.125 1.0   
38 0.4985 38.115 1.0   
39 0.4985 39.105 1.0   
40 0.4985 40.095 1.0   
41 0.4985 41.085 1.0   
42 0.4985 42.075 1.0   
43 0.4985 43.065 1.0   
44 0.4985 44.055 1.0   
45 0.4985 45.045 1.0   
46 0.4985 46.035 1.0   
47 0.4985 47.025 1.0   
48 0.4985 48.015 1.0   
49 0.4985 49.005 1.0   
50 0.4985 50.5 1.0   
51 0.4985 51.5 1.0   
52 0.4985 52.5 1.0   
53 0.4985 53.5 1.0   
54 0.4985 54.5 1.0   
55 1.4955 0.495 1.0   
56 1.4955 1.485 1.0   
57 1.4955 2.475 1.0   
58 1.4955 3.465 1.0   
59 1.4955 4.455 1.0   
60 1.4955 5.445 1.0   
61 1.4955 6.435 1.0   
62 1.4955 7.425 1.0   
63 1.4955 8.415 1.0   
64 1.4955 9.405 1.0   
65 1.4955 10.395 1.0   
66 1.4955 11.385 1.0   
67 1.4955 12.375 1.0   
68 1.4955 13.365 1.0   
69 1.4955 14.355 1.0   
70 1.4955 15.345 1.0   
71 1.4955 16.335 1.0   
72 1.4955 17.325 1.0   
73 1.4955 18.315 1.0   
74 1.4955 19.305 1.0   
75 1.4955 20.295 1.0   
76 1.4955 21.285 1.0   
77 1.4955 22.275 1.0   
78 1.4955 23.265 1.0   
79 1.4955 24.255 1.0   
80 1.4955 25.245 1.0   
81 1.4955 26.235 1.0   
82 1.4955 27.225 1.0   
83 1.4955 28.215 1.0   
84 1.4955 29.205 1.0   
85 1.4955 30.195 1.0   
86 1.4955 31.185 1.0   
87 1.4955 32.175 1.0   
88 1.4955 33.165 1.0   
89 1.4955 34.155 1.0   
90 1.4955 35.145 1.0   
91 1.4955 36.135 1.0   
92 1.4955 37.125 1.0   
93 1.4955 38.115 1.0   
94 1.4955 39.105 1.0   
95 1.4955 40.095 1.0   
96 1.4955 41.085 1.0   
97 1.4955 42.075 1.0   
98 1.4955 43.065 1.0   
99 1.4955 44.055 1.0   
100 1.4955 45.045 1.0   
101 1.4955 46.035 1.0   
102 1.4955 47.025 1.0   
103 1.4955 48.015 1.0   
104 1.4955 49.005 1.0   
105 1.4955 50.5 1.0   
106 1.4955 51.5 1.0   
107 1.4955 52.5 1.0   
108 1.4955 53.5 1.0   
109 1.4955 54.5 1.0   
110 2.4925 0.495 1.0   
111 2.4925 1.485 1.0   
112 2.4925 2.475 1.0   
113 2.4925 3.465 1.0   
114 2.4925 4.455 1.0   
115 2.4925 5.445 1.0   
116 2.4925 6.435 1.0   
117 2.4925 7.425 1.0   
118 2.4925 8.415 1.0   
119 2.4925 9.405 1.0   
120 2.4925 10.395 1.0   
121 2.4925 11.385 1.0   
122 2.4925 12.375 1.0   
123 2.4925 13.365 1.0   
124 2.4925 14.355 1.0   
125 2.4925 15.345 1.0   
126 2.4925 16.335 1.0   
127 2.4925 17.325 1.0   
128 2.4925 18.315 1.0   
129 2.4925 19.305 1.0   
130 2.4925 20.295 1.0   
131 2.4925 21.285 1.0   
132 2.4925 22.275 1.0   
133 2.4925 23.265 1.0   
134 2.4925 24.255 1.0   
135 2.4925 25.245 1.0   
136 2.4925 26.235 1.0   
137 2.4925 27.225 1.0   
138 2.4925 28.215 1.0   
139 2.4925 29.205 1.0   
140 2.4925 30.195 1.0   
141 2.4925 31.185 1.0   
142 2.4925 32.175 1.0   
143 2.4925 33.165 1.0   
144 2.4925 34.155 1.0   
145 2.4925 35.145 1.0   
146 2.4925 36.135 1.0   
147 2.4925 37.125 1.0   
148 2.4925 38.115 1.0   
149 2.4925 39.105 1.0   
150 2.4925 40.095 1.0   
151 2.4925 41.085 1.0   
152 2.4925 42.075 1.0   
153 2.4925 43.065 1.0   
154 2.4925 44.055 1.0   
155 2.4925 45.045 1.0   
156 2.4925 46.035 1.0   
157 2.4925 47.025 1.0   
158 2.4925 48.015 1.0   
159 2.4925 49.005 1.0   
160 2.4925 50.5 1.0   
161 2.4925 51.5 1.0   
162 2.4925 52.5 1.0   
163 2.4925 53.5 1.0   
164 2.4925 54.5 1.0   
165 3.4895 0.495 1.0   
166 3.4895 1.485 1.0   
167 3.4895 2.475 1.0   
168 3.4895 3.465 1.0   
169 3.4895 4.455 1.0   
170 3.4895 5.445 1.0   
171 3.4895 6.435 1.0   
172 3.4895 7.425 1.0   
173 3.4895 8.415 1.0   
